('Knowledge Discovery in Databases: Comorbidities in Tuberculosis Cases', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_1')
('Noninvasive Estimation of Mean Pulmonary Artery Pressure Using MRI, Computer Models, and Machine Learning', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_2')
('GAN-Based Data Augmentation for Prediction Improvement Using Gene Expression Data in Cancer', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_3')
('National Network for Rare Diseases in Brazil: The Computational Infrastructure and Preliminary Results', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_4')
('Classification of Uterine Fibroids in Ultrasound Images Using Deep Learning Model', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_5')
('Explainable AI with Domain Adapted FastCAM for Endoscopy Images', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_6')
('Sensitivity Analysis of a Model of Lower Limb Haemodynamics', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_7')
('Data Augmentation Techniques to Improve Metabolomic Analysis in Niemann-Pick Type C Disease', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_8')
('Effect of Feature Discretization on Classification Performance of Explainable Scoring-Based Machine Learning Model', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_9')
('Hybrid Modeling for Predicting Inpatient Treatment Outcome: COVID-19 Case', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_10')
('Neural Additive Models for Explainable Heart Attack Prediction', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_11')
('Machine Learning Models for Predicting 30-Day Readmission of Elderly Patients Using Custom Target Encoding Approach', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_12')
('Patient- and Ventilator-Specific Modeling to Drive the Use and Development of 3D Printed Devices for Rapid Ventilator Splitting During the COVID-19 Pandemic', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_13')
('AI Classifications Applied to Neuropsychological Trials in Normal Individuals that Predict Progression to Cognitive Decline', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_14')
('Super-Resolution Convolutional Network for Image Quality Enhancement in Remote Photoplethysmography Based Heart Rate Estimation', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_15')
('A Hybrid Modeling Framework for City-Scale Dynamics of Multi-strain Influenza Epidemics', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_16')
('Numerical Stability of Tangents and Adjoints of Implicit Functions', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_17')
('Analysis of Parameters Distribution of EEG Signals for Five Epileptic Seizure Phases Modeled by Duffing Van Der Pol Oscillator', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_18')
('Multi-criterial Design of Antennas with Tolerance Analysis Using Response-Feature Predictors', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_19')
('Expedited Optimization of Passive Microwave Devices Using Gradient Search and Principal Directions', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_20')
('Approach to Imputation Multivariate Missing Data of Urban Buildings by Chained Equations Based on Geospatial Information', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_21')
('Global Design Optimization of Microwave Circuits Using Response Feature Inverse Surrogates', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_22')
('Classification of Soil Bacteria Based on Machine Learning and Image Processing', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_23')
('Calibration Window Selection Based on Change-Point Detection for Forecasting Electricity Prices', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_24')
('Tackling Air Pollution in Cities with Modelling and Simulation: Remote Group Model Building as an Educational Tool Supporting System Dynamics Modelling', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_25')
('Fast Isogeometric Analysis Simulations of a Process of Air Pollution Removal by Artificially Generated Shock Waves', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_26')
('Automatic Generation of Individual Fuzzy Cognitive Maps from Longitudinal Data', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_27')
('A Simulation Study of the Delayed Effect of Covid-19 Pandemic on Pensions and Welfare of the Elderly: Evidence from Poland', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_28')
('Non-Generic Case of Leap-Frog for Optimal Knots Selection in Fitting Reduced Data', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_29')
('Adaptive Surrogate-Assisted Optimal Sailboat Path Search Using Onboard Computers', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_30')
('Local Search in Selected Crossover Operators', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_31')
('Numerical and Statistical Probability Distribution Transformation for Modeling Traffic in Optical Networks', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_32')
('GPU Accelerated Modelling and Forecasting for Large Time Series', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_33')
('Intersection Representation of Big Data Networks and Triangle Enumeration', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_34')
('Global Surrogate Modeling by Neural Network-Based Model Uncertainty', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_35')
('Analysis of Agricultural and Engineering Systems Using Simulation Decomposition', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_36')
('Neural Network-Based Sequential Global Sensitivity Analysis Algorithm', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_37')
('Development of an Event-Driven System Architecture for Smart Manufacturing', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_38')
('Boundary Geometry Fitting with Bézier Curves in PIES Based on Automatic Differentiation', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_39')
('Partitioning Dense Graphs with Hardware Accelerators', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_40')
('A Taxonomy Guided Method to Identify Metaheuristic Components', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_41')
('Camp Location Selection in Humanitarian Logistics: A Multiobjective Simulation Optimization Approach', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_42')
('A Sparse Matrix Approach for Covering Large Complex Networks by Cliques', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_43')
('DSCAN for Geo-social Team Formation', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_44')
('Data Allocation with Neural Similarity Estimation for Data-Intensive Computing', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_45')
('Your Social Circle Affects Your Interests: Social Influence Enhanced Session-Based Recommendation', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_46')
('Action Recognition in Australian Rules Football Through Deep Learning', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_47')
('SEGP: Stance-Emotion Joint Data Augmentation with Gradual Prompt-Tuning for Stance Detection', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_48')
('Image Features Correlation with the Impression Curve for Automatic Evaluation of the Computer Game Level Design', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_49')
('ACCirO: A System for Analyzing and Digitizing Images of Charts with Circular Objects', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_50')
('Learning Scale-Invariant Object Representations with a Single-Shot Convolutional Generative Model', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_51')
('How to Sort Them? A Network for LEGO Bricks Classification', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_52')
('Novel Photoplethysmographic Signal Analysis via Wavelet Scattering Transform', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_53')
('Convolutional Neural Network Compression via Tensor-Train Decomposition on Permuted Weight Tensor with Automatic Rank Determination', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_54')
('Comparing Explanations from Glass-Box and Black-Box Machine-Learning Models', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_55')
('Virtual Reality Prototype of a Linear Accelerator Simulator for Oncological Radiotherapy Training', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_56')
('A Review of 3D Point Clouds Parameterization Methods', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_57')
('Statistical Prediction of Extreme Events from Small Datasets', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_58')
('Outlier Detection for Categorial Data Using Clustering Algorithms', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_59')
('Augmenting Graph Inductive Learning Model with Topographical Features', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_60')
('Generative Networks Applied to Model Fluid Flows', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_61')
('Towards Social Machine Learning for Natural Disasters', 'https://link.springer.com/chapter/10.1007/978-3-031-08757-8_62')
